sr_no,theme,week_type,year,session_name,tech_stack,youtube_url
1,"GHW AI/ML Week - 2023","AI/ML Week",2023,"Data Science Part 1: Getting the Data","Python","https://youtu.be/xzHv5JUdBDY"
2,"GHW AI/ML Week - 2023","AI/ML Week",2023,"Data Science Part 2: Analysis of Data","Python","https://youtu.be/3UVa8QzrMGw"
3,"GHW Social Good - 2023","Social Good",2023,"Build a Job Board Website with React - Part 1","React","https://youtu.be/LeLS4r1LeTw"
4,"GHW Social Good - 2023","Social Good",2023,"Build a Job Board Website with React - Part 2","React","https://youtu.be/IdNqZwlrKT4"
5,"GHW Social Good - 2023","Social Good",2023,"Build a Job Board Website with React - Part 3","React","https://youtu.be/vFk4Xv8UeBA"
6,"GHW API Week - 2023","API Week",2023,"Build an API using Express.js - Part 1","Node.js","https://youtu.be/Tz0ucrK5_zw"
7,"GHW API Week - 2023","API Week",2023,"Build an API using Express.js - Part 2","Node.js","https://youtu.be/muU-Z9S4m5w"
8,"GHW Games Week - 2023","Games Week",2023,"Create your own Games with HTML and JS - Part 1","JavaScript","https://youtu.be/1eoH0b4lXHs"
9,"GHW Games Week - 2023","Games Week",2023,"Create your own Games with HTML and JS - Part 2","JavaScript","https://youtu.be/yA_uvE7mYMg"
10,"GHW Security Week - 2023","Security Week",2023,"Building your Own Password Generator and Manager - Part 1","Python","https://youtu.be/w6TCsuFNTCs"
11,"GHW Security Week - 2023","Security Week",2023,"Building your Own Password Generator and Manager - Part 2","Python","https://youtu.be/ogXl_KVGiZA"
12,"GHW Security Week - 2023","Security Week",2023,"Building your Own Password Generator and Manager - Part 3","Python","https://youtu.be/M6dtOrrdgbA"
13,"GHW Season Launch - 2023","Season Launch",2023,"Build your own UI Component Library Part 1","React","https://youtu.be/_5JZgTjKydU"
14,"GHW Season Launch - 2023","Season Launch",2023,"Build your own UI Component Library Part 2","React","https://youtu.be/NmziiKvFqDg"
15,"GHW Season Launch - 2023","Season Launch",2023,"Build your own UI Component Library Part 3","React","https://youtu.be/ohQS6XL9P8Q"
16,"GHW Open Source Week - 2023","Open Source Week",2023,"Building an OpenSource Invoice Generator with React.js Part 1","React","https://youtu.be/pFEZYft-OQU"
17,"GHW Open Source Week - 2023","Open Source Week",2023,"Building an OpenSource Invoice Generator with React.js Part 2","React","https://youtu.be/WKUqEYu_vb8"
18,"GHW Open Source Week - 2023","Open Source Week",2023,"Building an OpenSource Invoice Generator with React.js Part 3","React","https://youtu.be/5EIwkXQpCEI"
19,"GHW Cloud Week - 2023","Cloud Week",2023,"Learn MongoDB Atlas Cloud Part 1","MongoDB","https://youtu.be/npWO6BKFy5c"
20,"GHW Cloud Week - 2023","Cloud Week",2023,"Learn MongoDB Atlas Cloud Part 2","MongoDB","https://youtu.be/Wixs2x7jZ3A"
21,"GHW Cloud Week - 2023","Cloud Week",2023,"Learn MongoDB Atlas Cloud Part 3","MongoDB","https://youtu.be/WrEGoJPjraQ"
22,"GHW Beginners Week - 2024","Beginners Week",2024,"Learn Python by building simple projects - Part 1","Python","https://youtu.be/GxeJiJEVArU"
23,"GHW Beginners Week - 2024","Beginners Week",2024,"Learn Python by building simple projects - Part 2","Python","https://youtu.be/SCKPLxZVkrg"
24,"GHW Beginners Week - 2024","Beginners Week",2024,"Learn Python by building simple projects - Part 3","Python","https://youtu.be/zCgsNYLj0I0"
25,"GHW AI/ML Week - 2024","AI/ML Week",2024,"Getting Started with Data Visualization - Part 1","Python","https://youtu.be/RUuebfxUQmo"
26,"GHW AI/ML Week - 2024","AI/ML Week",2024,"Getting Started with Data Visualization - Part 2","Python","https://youtu.be/Fk1uyxzBXes"
27,"GHW AI/ML Week - 2024","AI/ML Week",2024,"Getting Started with Data Visualization - Part 3","Python","https://youtu.be/F54kKjOjAXo"
28,"GHW Data Week - 2024","Data Week",2024,"Interactive Maps Visualisation Part 1","Python","https://youtu.be/s6WuhLG2gA8"
29,"GHW Data Week - 2024","Data Week",2024,"Interactive Maps Visualisation Part 2","Python","https://youtu.be/fDKkmuZfxZc"
30,"GHW Data Week - 2024","Data Week",2024,"Interactive Maps Visualisation Part 3","Python","https://youtu.be/63iik32X7fk"
31,"GHW AI/ML Week - 2024","AI/ML Week",2024,"Machine Learning with JavaScript - Part 1","JavaScript","https://youtu.be/q9sBJYW5epI"
32,"GHW AI/ML Week - 2024","AI/ML Week",2024,"Machine Learning with JavaScript - Part 2","JavaScript","https://youtu.be/_9B4wLQuwsE"
33,"GHW AI/ML Week - 2024","AI/ML Week",2024,"Machine Learning with JavaScript - Part 3","JavaScript","https://youtu.be/uqNTKwR5hdo"
34,"GHW AI/ML Week - 2024","AI/ML Week",2024,"Machine Learning with JavaScript - Part 4","JavaScript","https://youtu.be/bEDgcZUTITU"
35,"GHW Cloud Week - 2024","Cloud Week",2024,"Deploying JS applications on Cloud - Part 1","JavaScript","https://youtu.be/iTzLgAM38UI"
36,"GHW Cloud Week - 2024","Cloud Week",2024,"Deploying JS applications on Cloud - Part 2","JavaScript","https://youtu.be/AZO2i2TaHHY"
37,"GHW Cloud Week - 2024","Cloud Week",2024,"Deploying JS applications on Cloud - Part 3","JavaScript","https://youtu.be/aFRtzwaAQ10"
38,"GHW Open Source Week - 2024","Open Source Week",2024,"OpenSource Color Palette Generator Part 1","JavaScript","https://youtu.be/WBN__gPzKW8"
39,"GHW Open Source Week - 2024","Open Source Week",2024,"OpenSource Color Palette Generator Part 2","JavaScript","https://youtu.be/ZVdiahaDyIs"
40,"GHW Open Source Week - 2024","Open Source Week",2024,"OpenSource Color Palette Generator Part 3","JavaScript","https://youtu.be/2YrpEaag5mM"
41,"GHW Career Week - 2024","Career Week",2024,"Mobile App Development with React Native & Expo - Part 1","React Native","https://youtu.be/zzZwW80uwJ4"
42,"GHW Career Week - 2024","Career Week",2024,"Mobile App Development with React Native & Expo - Part 2","React Native","https://youtu.be/bR2-aGSt3xY"
43,"GHW Career Week - 2024","Career Week",2024,"Mobile App Development with React Native & Expo - Part 3","React Native","https://youtu.be/gq9NlEl4QGQ"
44,"GHW Career Week - 2024","Career Week",2024,"Mobile App Development with React Native & Expo - Part 4","React Native","https://youtu.be/0m-MoVaxRpU"
45,"GHW Data Week - 2024","Data Week",2024,"Build your own mini-SQL database - Part 1 & 2","C","https://youtu.be/baiQ45FswQ4"
46,"GHW Data Week - 2024","Data Week",2024,"Build your own mini-SQL database - Part 3","C","https://youtu.be/quL-1-FSNMQ"
47,"GHW Data Week - 2024","Data Week",2024,"Build your own mini-SQL database - Part 4","C","https://youtu.be/auuyKvaaxs8"
48,"GHW Beginners Week - 2025","Beginners Week",2025,"Learn HTML/CSS/JS by building mini projects - Part 1","HTML/CSS","https://youtu.be/dj20qkNlmYM"
49,"GHW Beginners Week - 2025","Beginners Week",2025,"Learn HTML/CSS/JS by building mini projects - Part 2","HTML/CSS","https://youtu.be/VZy0s3moKiE"
50,"GHW Beginners Week - 2025","Beginners Week",2025,"Learn HTML/CSS/JS by building mini projects - Part 3","HTML/CSS","https://youtu.be/lDeOr3W_g0M"
51,"GHW Beginners Week - 2025","Beginners Week",2025,"Learn HTML/CSS/JS by building mini projects - Part 4","HTML/CSS","https://youtu.be/NCgP_ffoFcU"
52,"GHW Beginners Week - 2025","Beginners Week",2025,"Learn HTML/CSS/JS by building mini projects - Part 5","HTML/CSS","https://youtu.be/syM0L-zowdM"
53,"GHW Beginners Week - 2025","Beginners Week",2025,"Learn HTML/CSS/JS by building mini projects - Part 6","HTML/CSS","https://youtu.be/xZZsEiWY2s4"
54,"GHW AI/ML Week - 2025","AI/ML Week",2025,"Finance with Python - Part 1","Python","https://youtu.be/gEfWEPuAPwY"
55,"GHW AI/ML Week - 2025","AI/ML Week",2025,"Finance with Python - Part 2","Python","https://youtu.be/N1pvBckYqVw"
56,"GHW AI/ML Week - 2025","AI/ML Week",2025,"Finance with Python - Part 3","Python","https://youtu.be/1UGXMvHFeB0"
57,"GHW AI/ML Week - 2025","AI/ML Week",2025,"Finance with Python - Part 4","Python","https://youtu.be/e6_BCYf4Kxw"
58,"GHW AI/ML Week - 2025","AI/ML Week",2025,"Finance with Python - Part 5","Python","https://youtu.be/Han7FqJB_AE"
59,"GHW Cloud Week - 2025","Cloud Week",2025,"Building a Chrome Extension - Part 1","JavaScript","https://youtu.be/Stv-OF0GjiA"
60,"GHW Cloud Week - 2025","Cloud Week",2025,"Building a Chrome Extension - Part 2","JavaScript","https://youtu.be/GmNNTmdjbLw"
61,"GHW Cloud Week - 2025","Cloud Week",2025,"Building a Chrome Extension - Part 3","JavaScript","https://youtu.be/io0tCgFVwwc"
62,"GHW Cloud Week - 2025","Cloud Week",2025,"Building a Chrome Extension - Part 4","JavaScript","https://youtu.be/ZTUkanvD8wQ"
63,"GHW Cloud Week - 2025","Cloud Week",2025,"Building a Chrome Extension - Part 5","JavaScript","https://youtu.be/wcKjKlKvSBU"
64,"GHW Cloud Week - 2025","Cloud Week",2025,"Building a Chrome Extension - Part 6","JavaScript","https://youtu.be/D5OwQmcfoCA"
65,"GHW API Week - 2025","API Week",2025,"Realtime Communication using Sockets Part 1","Node.js","https://youtu.be/Jm7kgZg86Qc"
66,"GHW API Week - 2025","API Week",2025,"Realtime Communication using Sockets Part 2","Node.js","https://youtu.be/BXiYgcqEXVI"
67,"GHW API Week - 2025","API Week",2025,"Realtime Communication using Sockets Part 3","Node.js","https://youtu.be/XCZTQtn5GbE"
68,"GHW API Week - 2025","API Week",2025,"Realtime Communication using Sockets Part 4","Node.js","https://youtu.be/efVmgYlYtEE"
69,"GHW Open Source Week - 2025","Open Source Week",2025,"Open Source Color Palette Generator Part 1","React","https://youtu.be/el1GX6BeDgk"
70,"GHW Open Source Week - 2025","Open Source Week",2025,"Open Source Color Palette Generator Part 2","React","https://youtu.be/dz9vvyjcZ8E"
71,"GHW Open Source Week - 2025","Open Source Week",2025,"Open Source Color Palette Generator Part 3","React","https://youtu.be/hu3wCr83ih0"
72,"GHW Open Source Week - 2025","Open Source Week",2025,"Open Source Color Palette Generator Part 4","React","https://youtu.be/qlgMtpeAwcE"
73,"GHW Open Source Week - 2025","Open Source Week",2025,"Open Source Color Palette Generator Part 5","React","https://youtu.be/g6Xlei7i5ew"
74,"GHW Open Source Week - 2025","Open Source Week",2025,"Open Source Color Palette Generator Part 6","React","https://youtu.be/spSJBgVDVcw"
